,ticker,society_n,society_p,jobs_n,jobs_p,taxes_n,taxes_p,societal_infrastructure_n,societal_infrasctucute_p,societal_stability_n,societal_stability_p,equality_human_rights_n,eqality_human_rights_p,environment_n,environment_p,ghg_emission_n,ghg_emission_p,non_ghg_emission_n,non_ghg_emission_p,scarcenatural_resources_n,scarce_natural_resources_p,bidodiversity_n,biodiversity_p,waste_n,waste_p,millennials,most_wanted_workforce,society_first,knowledge_first,health_first,net_impact_ratio,health_n,health_p,physical_diseases_n,physical_diseases_p,mental_diseases_n,mental_diseases_p,nutrition_n,nutrition_p,relationships_n,relationships_p,meaning_joy_n,meaning_joy_p,knowledge_n,knowledge_p,knowledge_infrastructure_n,knowledge_infrastructure_p,creating_knowledge_n,creating_knowledge_p,distributing_knowledge_n,distributing_knowledge_p,scarce_human_capital_n,scarce_human_capital_p
11,ADI,-0.05,2.33,0.0,0.78,0.0,1.3,0.0,0.18,-0.05,0.05,-0.0,0.02,-1.06,0.06,-0.64,0.04,-0.1,0.01,-0.02,0.0,-0.02,0.0,-0.28,0.0,0.552,0.366,0.366,0.3339999999999999,0.79,0.411,-0.22,0.44,-0.12,0.12,-0.05,0.02,0.0,0.01,-0.04,0.18,-0.01,0.11,-1.28,1.6,0.0,1.1,0.0,0.21,-0.0,0.28,-1.28,0.0
12,ANSS,-0.08,3.95,0.0,1.44,0.0,2.34,0.0,0.14,-0.07,0.01,-0.0,0.02,-0.84,0.03,-0.52,0.02,-0.06,0.01,-0.02,0.0,-0.02,0.0,-0.22,0.0,0.6,0.496,0.496,0.3989999999999999,0.846,0.506,-0.17,0.42,-0.05,0.17,-0.03,0.0,0.0,0.0,-0.05,0.18,-0.04,0.06,-3.39,4.68,0.0,1.42,0.0,2.68,-0.0,0.57,-3.39,0.0
13,AAPL,-0.34,2.76,0.0,0.75,0.0,1.58,0.0,0.11,-0.2,0.24,-0.14,0.09,-2.09,0.09,-0.91,0.07,-0.14,0.01,-0.42,0.0,-0.02,0.0,-0.6,0.02,0.492,0.249,0.249,0.245,0.779,0.344,-0.92,2.21,-0.35,0.3,-0.24,0.13,0.0,0.0,-0.26,1.23,-0.08,0.55,-1.65,2.57,0.0,1.39,0.0,0.07,-0.03,1.11,-1.62,0.0
14,AMAT,-0.03,2.6,0.0,0.78,0.0,1.6,0.0,0.2,-0.03,0.01,-0.0,0.01,-1.5,0.18,-0.89,0.12,-0.07,0.05,-0.02,0.0,-0.01,0.0,-0.5,0.01,0.357,0.081,0.081,0.11,0.5720000000000001,0.159,-0.1,0.19,-0.07,0.07,-0.01,0.01,0.0,0.0,-0.01,0.06,-0.0,0.04,-1.55,0.81,0.0,0.68,0.0,0.09,-0.0,0.04,-1.55,0.0
15,ADSK,-0.05,3.5,0.0,1.27,0.0,1.97,0.0,0.21,-0.04,0.04,-0.01,0.02,-1.41,0.06,-0.76,0.04,-0.15,0.02,-0.09,0.0,-0.06,0.0,-0.35,0.0,0.344,0.108,0.108,0.081,0.622,0.192,-0.39,0.76,-0.24,0.28,-0.02,0.07,0.0,0.0,-0.09,0.15,-0.04,0.26,-2.96,1.63,0.0,0.33,0.0,1.26,-0.0,0.04,-2.96,0.0
16,ADP,-0.02,4.38,0.0,1.56,0.0,2.45,0.0,0.27,-0.0,0.06,-0.02,0.04,-0.18,0.0,-0.1,0.0,-0.02,0.0,-0.0,0.0,-0.01,0.0,-0.05,0.0,0.569,0.474,0.474,0.537,0.501,0.531,-0.01,0.18,-0.01,0.03,-0.0,0.01,0.0,0.0,-0.0,0.06,-0.0,0.07,-2.12,0.41,0.0,0.03,0.0,0.01,-0.0,0.37,-2.12,0.0
17,BIIB,-0.19,2.55,0.0,0.48,0.0,1.8,0.0,0.21,-0.01,0.05,-0.18,0.02,-2.23,0.04,-0.99,0.02,-0.2,0.01,-0.12,0.0,-0.08,0.0,-0.84,0.01,0.488,0.242,0.242,-0.539,0.417,0.426,-0.98,5.84,-0.96,5.12,-0.03,0.43,0.0,0.0,-0.0,0.0,-0.0,0.29,-1.58,0.27,0.0,0.0,0.0,0.26,-0.0,0.0,-1.58,0.0
18,AVGO,-0.13,2.76,0.0,0.71,0.0,1.54,0.0,0.27,-0.13,0.21,-0.01,0.03,-1.09,0.17,-0.72,0.14,-0.1,0.03,-0.03,0.0,-0.02,0.0,-0.21,0.0,0.478,0.308,0.308,0.276,0.7759999999999999,0.345,-0.25,0.51,-0.13,0.06,-0.07,0.01,0.0,0.0,-0.04,0.24,-0.02,0.2,-2.42,2.49,0.0,1.38,0.0,0.82,-0.0,0.29,-2.41,0.0
19,CDNS,-0.1,3.52,0.0,1.15,0.0,2.13,0.0,0.18,-0.09,0.06,-0.01,0.01,-1.38,0.07,-0.75,0.04,-0.16,0.02,-0.11,0.0,-0.05,0.0,-0.3,0.0,0.373,0.163,0.163,0.133,0.674,0.2189999999999999,-0.22,0.36,-0.12,0.1,-0.03,0.01,0.0,0.0,-0.04,0.06,-0.03,0.19,-2.87,1.89,0.0,0.93,0.0,0.84,-0.0,0.12,-2.87,0.0
20,CBOE,-0.12,1.4,0.0,0.36,0.0,0.96,0.0,0.07,-0.11,0.01,-0.01,0.01,-0.36,0.02,-0.26,0.01,-0.03,0.0,-0.01,0.01,-0.01,0.0,-0.05,0.01,0.306,0.148,0.148,0.006,0.731,0.1669999999999999,-0.07,0.09,-0.02,0.04,-0.0,0.01,0.0,0.0,-0.03,0.02,-0.02,0.03,-2.01,1.55,0.0,0.13,0.0,0.01,-0.0,1.41,-2.01,0.0
