,ticker,society_n,society_p,jobs_n,jobs_p,taxes_n,taxes_p,societal_infrastructure_n,societal_infrasctucute_p,societal_stability_n,societal_stability_p,equality_human_rights_n,eqality_human_rights_p,environment_n,environment_p,ghg_emission_n,ghg_emission_p,non_ghg_emission_n,non_ghg_emission_p,scarcenatural_resources_n,scarce_natural_resources_p,bidodiversity_n,biodiversity_p,waste_n,waste_p,millennials,most_wanted_workforce,society_first,knowledge_first,health_first,net_impact_ratio,health_n,health_p,physical_diseases_n,physical_diseases_p,mental_diseases_n,mental_diseases_p,nutrition_n,nutrition_p,relationships_n,relationships_p,meaning_joy_n,meaning_joy_p,knowledge_n,knowledge_p,knowledge_infrastructure_n,knowledge_infrastructure_p,creating_knowledge_n,creating_knowledge_p,distributing_knowledge_n,distributing_knowledge_p,scarce_human_capital_n,scarce_human_capital_p
51,HAS,-0.01,1.9,0.0,0.57,0.0,1.27,0.0,0.0,-0.01,0.04,-0.0,0.01,-1.39,0.16,-0.77,0.15,-0.1,0.0,-0.05,0.0,-0.06,0.0,-0.41,0.0,0.4679999999999999,0.158,0.158,0.275,0.562,0.326,-0.76,2.11,-0.38,0.14,-0.02,0.04,0.0,0.0,-0.2,0.61,-0.15,1.31,-1.01,0.54,0.0,0.14,0.0,0.16,-0.0,0.24,-1.01,0.0
52,HSIC,-0.02,2.38,0.0,1.01,0.0,1.22,0.0,0.1,-0.01,0.02,-0.01,0.03,-1.04,0.05,-0.42,0.01,-0.07,0.0,-0.04,0.0,-0.03,0.04,-0.48,0.0,0.433,0.22,0.22,0.1009999999999999,0.395,0.348,-0.17,1.4,-0.14,0.93,-0.01,0.2,0.0,0.0,-0.01,0.06,-0.01,0.21,-1.47,0.29,0.0,0.05,0.0,0.05,-0.0,0.2,-1.47,0.0
53,HOLX,-0.02,3.86,0.0,1.76,0.0,1.98,0.0,0.08,-0.01,0.01,-0.0,0.03,-0.91,0.02,-0.52,0.01,-0.05,0.0,-0.02,0.0,-0.01,0.0,-0.31,0.01,0.629,0.517,0.517,0.314,0.6759999999999999,0.596,-0.2,3.39,-0.18,2.75,-0.01,0.38,0.0,0.0,-0.01,0.08,-0.01,0.17,-2.19,0.95,0.0,0.14,0.0,0.81,-0.0,0.0,-2.19,0.0
54,HST,-0.04,3.47,0.0,0.84,0.0,2.62,0.0,0.0,-0.0,0.0,-0.04,0.01,-2.91,0.03,-1.47,0.02,-0.25,0.0,-0.37,0.0,-0.39,0.0,-0.44,0.01,0.332,-0.059,-0.059,0.002,0.504,0.0559999999999999,-0.29,0.4,-0.21,0.01,-0.05,0.0,0.0,0.0,-0.01,0.08,-0.03,0.3,-1.13,0.74,0.0,0.0,0.0,0.05,-0.0,0.69,-1.13,0.0
55,HBAN,-0.03,3.53,0.0,0.74,0.0,1.11,0.0,1.62,-0.0,0.0,-0.03,0.06,-0.47,0.01,-0.28,0.01,-0.07,0.0,-0.02,0.0,-0.03,0.0,-0.07,0.0,0.514,0.365,0.365,0.555,0.336,0.446,-0.08,0.24,-0.05,0.07,-0.02,0.02,0.0,0.0,-0.0,0.04,-0.01,0.12,-1.62,0.18,0.0,0.1,0.0,0.02,-0.0,0.06,-1.62,0.0
56,IDXX,-0.05,2.44,0.0,0.97,0.0,1.4,0.0,0.05,-0.01,0.0,-0.03,0.02,-2.26,0.26,-1.06,0.0,-0.19,0.0,-0.37,0.0,-0.31,0.25,-0.33,0.01,0.302,-0.139,-0.139,-0.0559999999999999,0.372,0.066,-0.91,1.48,-0.87,0.38,-0.01,0.05,0.0,0.39,-0.0,0.2,-0.03,0.46,-1.11,0.45,0.0,0.0,0.0,0.45,-0.0,0.01,-1.11,0.0
57,ILMN,-0.01,4.26,0.0,1.9,0.0,2.31,0.0,0.04,-0.0,0.0,-0.0,0.02,-1.25,0.18,-0.67,0.08,-0.09,0.05,-0.01,0.0,-0.01,0.0,-0.47,0.05,0.691,0.585,0.585,0.489,0.812,0.63,-0.08,2.22,-0.07,1.53,-0.0,0.21,0.0,0.0,-0.0,0.26,-0.01,0.21,-1.9,2.07,0.0,0.0,0.0,0.81,-0.0,1.26,-1.9,0.0
58,INCY,-0.07,2.87,0.0,0.97,0.0,1.68,0.0,0.11,-0.02,0.04,-0.05,0.08,-1.0,0.02,-0.39,0.01,-0.11,0.0,-0.05,0.0,-0.05,0.0,-0.41,0.0,0.727,0.611,0.611,0.226,0.8220000000000001,0.6920000000000001,-0.87,7.12,-0.83,5.87,-0.04,0.87,0.0,0.0,-0.0,0.0,-0.0,0.38,-1.79,2.11,0.0,0.0,0.0,2.11,-0.0,0.0,-1.79,0.0
59,INTC,-0.06,2.25,0.0,0.68,0.0,1.31,0.0,0.12,-0.05,0.12,-0.01,0.02,-1.23,0.16,-0.73,0.1,-0.14,0.06,-0.04,0.0,-0.03,0.0,-0.3,0.0,0.528,0.327,0.327,0.291,0.775,0.376,-0.2,0.5,-0.12,0.16,-0.04,0.03,0.0,0.01,-0.03,0.19,-0.01,0.1,-1.28,1.54,0.0,0.75,0.0,0.5,-0.0,0.3,-1.28,0.0
60,INTU,-0.01,3.41,0.0,0.74,0.0,2.11,0.0,0.36,-0.0,0.07,-0.01,0.12,-0.19,0.01,-0.11,0.0,-0.02,0.0,-0.01,0.0,-0.01,0.0,-0.05,0.0,0.386,0.261,0.261,0.331,0.55,0.326,-0.03,0.35,-0.01,0.01,-0.0,0.0,0.0,0.0,-0.01,0.06,-0.0,0.27,-2.97,0.97,0.0,0.17,0.0,0.01,-0.0,0.79,-2.97,0.0
61,ISRG,-0.01,3.8,0.0,1.19,0.0,2.45,0.0,0.12,-0.0,0.01,-0.01,0.03,-1.16,0.01,-0.69,0.0,-0.04,0.0,-0.02,0.0,-0.01,0.0,-0.41,0.0,0.597,0.455,0.455,0.236,0.523,0.557,-0.25,3.35,-0.22,2.71,-0.01,0.44,0.0,0.0,-0.01,0.01,-0.0,0.2,-1.91,0.35,0.0,0.15,0.0,0.21,-0.0,0.0,-1.91,0.0
62,IPGP,-0.05,2.38,0.0,1.05,0.0,1.28,0.0,0.02,-0.04,0.02,-0.01,0.01,-0.83,0.08,-0.47,0.04,-0.06,0.02,-0.05,0.0,-0.02,0.0,-0.24,0.03,0.431,0.196,0.196,0.2689999999999999,0.4,0.292,-0.1,0.17,-0.06,0.03,-0.02,0.01,0.0,0.0,-0.02,0.08,-0.01,0.05,-1.06,0.25,0.0,0.12,0.0,0.03,-0.0,0.1,-1.06,0.0
63,JKHY,-0.01,4.31,0.0,0.89,0.0,1.75,0.0,1.62,-0.0,0.02,-0.0,0.04,-0.57,0.01,-0.34,0.01,-0.08,0.0,-0.02,0.0,-0.02,0.0,-0.11,0.0,0.245,0.038,0.038,0.309,-0.102,0.154,-0.1,0.12,-0.07,0.01,-0.01,0.0,0.0,0.0,-0.01,0.01,-0.01,0.09,-3.24,0.18,0.0,0.15,0.0,0.01,-0.0,0.02,-3.24,0.0
64,KLAC,-0.03,2.91,0.0,0.99,0.0,1.74,0.0,0.15,-0.03,0.02,-0.0,0.01,-1.44,0.08,-0.86,0.05,-0.18,0.02,-0.04,0.0,-0.04,0.0,-0.32,0.01,0.35,0.086,0.086,0.105,0.5720000000000001,0.165,-0.15,0.21,-0.11,0.08,-0.02,0.01,0.0,0.01,-0.01,0.06,-0.01,0.04,-1.81,0.91,0.0,0.51,0.0,0.33,-0.0,0.07,-1.81,0.0
65,LRCX,-0.01,1.84,0.0,0.51,0.0,1.29,0.0,0.04,-0.0,0.0,-0.0,0.0,-0.63,0.04,-0.4,0.03,-0.03,0.01,-0.01,0.0,-0.01,0.0,-0.18,0.0,0.307,0.063,0.063,0.119,0.327,0.157,-0.03,0.05,-0.02,0.04,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.01,-1.18,0.25,0.0,0.21,0.0,0.03,-0.0,0.0,-1.18,0.0
66,LKQ,-0.01,3.05,0.0,1.12,0.0,1.18,0.0,0.72,-0.0,0.0,-0.01,0.01,-2.95,2.14,-1.78,0.63,-0.57,0.08,-0.06,0.0,-0.13,0.01,-0.41,1.42,0.4429999999999999,0.048,0.048,0.21,0.396,0.171,-0.69,0.17,-0.52,0.05,-0.08,0.0,0.0,0.0,-0.02,0.01,-0.07,0.11,-1.17,0.46,0.0,0.0,0.0,0.43,-0.0,0.03,-1.17,0.0
67,MKTX,-0.03,1.89,0.0,0.46,0.0,1.33,0.0,0.08,-0.03,0.01,-0.0,0.01,-0.2,0.01,-0.13,0.01,-0.02,0.0,-0.01,0.0,-0.01,0.0,-0.04,0.0,0.426,0.304,0.304,0.2019999999999999,0.7609999999999999,0.32,-0.08,0.07,-0.03,0.02,-0.0,0.0,0.0,0.0,-0.02,0.01,-0.03,0.03,-2.28,1.83,0.0,0.22,0.0,0.0,-0.01,1.61,-2.27,0.0
68,MTCH,-0.0,3.27,0.0,0.94,0.0,2.29,0.0,0.03,-0.0,0.01,-0.0,0.0,-0.16,0.01,-0.1,0.0,-0.01,0.0,-0.01,0.0,-0.0,0.0,-0.04,0.0,0.6459999999999999,0.535,0.535,0.645,0.509,0.647,-0.74,5.74,-0.01,0.01,-0.0,0.0,0.0,0.0,-0.73,4.6,-0.0,1.13,-2.34,0.19,0.0,0.18,0.0,0.0,-0.0,0.0,-2.34,0.0
69,MCHP,-0.07,2.29,0.0,0.83,0.0,1.17,0.0,0.21,-0.07,0.06,-0.01,0.02,-1.15,0.04,-0.62,0.03,-0.09,0.01,-0.02,0.0,-0.02,0.0,-0.39,0.0,0.439,0.191,0.191,0.212,0.648,0.282,-0.26,0.58,-0.14,0.23,-0.05,0.02,0.0,0.01,-0.05,0.19,-0.02,0.13,-1.21,0.82,0.0,0.48,0.0,0.09,-0.0,0.25,-1.21,0.0
70,MU,-0.04,1.79,0.0,0.62,0.0,1.12,0.0,0.02,-0.04,0.01,-0.0,0.01,-0.85,0.01,-0.44,0.01,-0.05,0.0,-0.02,0.0,-0.01,0.0,-0.34,0.0,0.335,0.057,0.057,0.098,0.431,0.166,-0.1,0.23,-0.05,0.08,-0.02,0.03,0.0,0.0,-0.02,0.08,-0.01,0.05,-0.95,0.31,0.0,0.18,0.0,0.04,-0.0,0.09,-0.95,0.0
71,MSFT,-0.28,3.49,0.0,1.06,0.0,2.09,0.0,0.18,-0.27,0.13,-0.01,0.03,-0.75,0.05,-0.45,0.03,-0.07,0.01,-0.04,0.0,-0.02,0.0,-0.16,0.0,0.3939999999999999,0.183,0.183,0.201,0.69,0.278,-0.9,1.3,-0.37,0.15,-0.14,0.04,0.0,0.0,-0.2,0.79,-0.18,0.32,-3.12,2.17,0.0,0.97,0.0,0.38,-0.02,0.82,-3.11,0.0
72,MRNA,-0.02,4.46,0.0,2.04,0.0,1.97,0.0,0.24,-0.01,0.06,-0.01,0.15,-2.62,0.04,-1.39,0.02,-0.16,0.01,-0.04,0.0,-0.06,0.0,-0.97,0.01,0.7509999999999999,0.632,0.632,-0.0279999999999999,0.726,0.726,-1.38,17.67,-1.37,16.05,-0.01,0.87,0.0,0.0,-0.0,0.0,-0.0,0.75,-2.28,0.87,0.0,0.0,0.0,0.87,-0.0,0.0,-2.28,0.0
73,MPWR,-0.07,2.11,0.0,0.78,0.0,1.19,0.0,0.1,-0.06,0.03,-0.0,0.01,-1.08,0.27,-0.62,0.18,-0.09,0.09,-0.02,0.0,-0.03,0.0,-0.33,0.0,0.525,0.321,0.321,0.296,0.758,0.377,-0.21,0.42,-0.11,0.11,-0.04,0.02,0.0,0.0,-0.04,0.16,-0.02,0.13,-1.2,1.29,0.0,1.08,0.0,0.04,-0.0,0.17,-1.2,0.0
74,NDAQ,-0.06,1.59,0.0,0.41,0.0,1.08,0.0,0.07,-0.06,0.01,-0.01,0.01,-0.27,0.01,-0.19,0.01,-0.02,0.0,-0.01,0.0,-0.01,0.0,-0.05,0.0,0.402,0.275,0.275,0.152,0.764,0.287,-0.05,0.08,-0.02,0.03,-0.0,0.0,0.0,0.0,-0.02,0.01,-0.01,0.04,-2.05,1.73,0.0,0.19,0.0,0.01,-0.0,1.53,-2.05,0.0
75,NTAP,-0.09,2.66,0.0,0.85,0.0,1.66,0.0,0.13,-0.08,0.03,-0.0,0.01,-0.6,0.03,-0.37,0.02,-0.05,0.01,-0.02,0.0,-0.01,0.0,-0.14,0.0,0.312,0.129,0.129,0.094,0.632,0.1889999999999999,-0.15,0.29,-0.06,0.09,-0.02,0.01,0.0,0.0,-0.04,0.12,-0.03,0.07,-2.72,1.4,0.0,0.81,0.0,0.26,-0.0,0.33,-2.72,0.0
76,NFLX,-0.02,3.0,0.0,0.91,0.0,1.78,0.0,0.03,-0.01,0.27,-0.01,0.01,-0.26,0.01,-0.13,0.01,-0.02,0.0,-0.01,0.0,-0.0,0.0,-0.11,0.0,0.375,-0.019,-0.019,0.135,0.588,0.183,-2.37,1.7,-1.3,0.09,-0.15,0.02,0.0,0.0,-0.83,0.62,-0.08,0.97,-2.24,1.27,0.0,0.37,0.0,0.4,-0.0,0.5,-2.24,0.0
77,NWL,-0.1,2.35,0.0,0.97,0.0,1.01,0.0,0.34,-0.09,0.01,-0.01,0.01,-2.49,0.15,-1.34,0.1,-0.4,0.02,-0.11,0.0,-0.11,0.0,-0.52,0.03,0.326,-0.047,-0.047,-0.051,0.3339999999999999,0.133,-0.32,1.57,-0.28,0.88,-0.02,0.02,0.0,0.12,-0.0,0.16,-0.01,0.39,-0.87,0.29,0.0,0.05,0.0,0.03,-0.0,0.22,-0.87,0.0
78,NLOK,-0.06,3.99,0.0,0.58,0.0,1.86,0.0,0.12,-0.06,1.42,-0.0,0.01,-0.66,0.07,-0.39,0.04,-0.06,0.01,-0.02,0.0,-0.01,0.0,-0.17,0.01,0.486,0.365,0.365,0.395,0.757,0.397,-0.11,0.61,-0.06,0.06,-0.02,0.01,0.0,0.0,-0.02,0.07,-0.01,0.47,-3.77,2.97,0.0,2.53,0.0,0.22,-0.0,0.21,-3.77,0.0
79,NVDA,-0.07,2.84,0.0,0.91,0.0,1.68,0.0,0.13,-0.06,0.1,-0.0,0.01,-1.23,0.07,-0.62,0.04,-0.13,0.02,-0.04,0.0,-0.02,0.0,-0.42,0.0,0.4379999999999999,0.2339999999999999,0.2339999999999999,0.2019999999999999,0.6940000000000001,0.304,-0.25,0.81,-0.17,0.27,-0.03,0.06,0.0,0.01,-0.03,0.22,-0.01,0.25,-2.11,1.52,0.0,0.62,0.0,0.72,-0.0,0.17,-2.11,0.0
80,NXPI,-0.05,2.1,0.0,0.81,0.0,1.08,0.0,0.09,-0.04,0.11,-0.0,0.01,-1.18,0.06,-0.67,0.04,-0.14,0.02,-0.02,0.0,-0.03,0.0,-0.33,0.01,0.493,0.28,0.28,0.255,0.736,0.345,-0.16,0.63,-0.11,0.19,-0.03,0.04,0.0,0.02,-0.02,0.21,-0.01,0.17,-1.21,1.18,0.0,0.63,0.0,0.36,-0.0,0.19,-1.21,0.0
81,PAYX,-0.03,4.23,0.0,1.13,0.0,2.14,0.0,0.34,-0.01,0.58,-0.03,0.03,-0.15,0.01,-0.07,0.0,-0.01,0.0,-0.0,0.0,-0.01,0.0,-0.05,0.0,0.607,0.521,0.521,0.596,0.631,0.5710000000000001,-0.04,0.27,-0.03,0.07,-0.0,0.02,0.0,0.0,-0.0,0.03,-0.0,0.15,-2.0,0.67,0.0,0.01,0.0,0.14,-0.0,0.52,-2.0,0.0
82,PYPL,-0.02,3.31,0.0,0.54,0.0,1.26,0.0,1.39,-0.01,0.05,-0.01,0.07,-0.29,0.01,-0.18,0.0,-0.03,0.0,-0.01,0.0,-0.01,0.0,-0.07,0.0,0.375,0.22,0.22,0.455,0.122,0.316,-0.04,0.21,-0.03,0.01,-0.01,0.0,0.0,0.0,-0.0,0.04,-0.0,0.16,-2.17,0.16,0.0,0.13,0.0,0.0,-0.0,0.03,-2.17,0.0
83,PBCT,-0.04,3.22,0.0,0.66,0.0,1.03,0.0,1.42,-0.01,0.02,-0.02,0.09,-0.53,0.02,-0.31,0.01,-0.08,0.0,-0.02,0.0,-0.03,0.0,-0.08,0.0,0.457,0.285,0.285,0.497,0.344,0.373,-0.09,0.21,-0.06,0.02,-0.01,0.0,0.0,0.0,-0.01,0.05,-0.01,0.13,-1.66,0.24,0.0,0.11,0.0,0.01,-0.0,0.12,-1.66,0.0
84,PFG,-0.09,3.03,0.0,0.61,0.0,0.73,0.0,1.49,-0.05,0.11,-0.05,0.09,-0.6,0.04,-0.35,0.01,-0.09,0.0,-0.03,0.01,-0.04,0.0,-0.09,0.01,0.513,0.355,0.355,0.508,0.612,0.432,-0.16,0.54,-0.08,0.2,-0.03,0.05,0.0,0.01,-0.03,0.11,-0.02,0.17,-1.57,0.66,0.0,0.1,0.0,0.07,-0.0,0.49,-1.57,0.0
85,PTC,-0.05,3.38,0.0,1.25,0.0,1.8,0.0,0.29,-0.05,0.03,-0.0,0.01,-1.23,0.02,-0.72,0.01,-0.15,0.01,-0.05,0.0,-0.06,0.0,-0.25,0.0,0.368,0.182,0.182,0.129,0.6920000000000001,0.2269999999999999,-0.11,0.43,-0.06,0.16,-0.01,0.01,0.0,0.0,-0.03,0.1,-0.02,0.16,-3.23,2.17,0.0,0.93,0.0,1.02,-0.0,0.22,-3.23,0.0
86,QRVO,-0.09,2.01,0.0,0.73,0.0,1.11,0.0,0.09,-0.08,0.05,-0.01,0.03,-0.93,0.05,-0.52,0.04,-0.07,0.01,-0.02,0.0,-0.01,0.0,-0.31,0.0,0.526,0.33,0.33,0.289,0.794,0.38,-0.31,0.49,-0.15,0.06,-0.07,0.03,0.0,0.0,-0.06,0.26,-0.03,0.14,-1.29,1.67,0.0,1.28,0.0,0.07,-0.0,0.32,-1.29,0.0
87,QCOM,-0.05,2.93,0.0,0.85,0.0,1.72,0.0,0.21,-0.04,0.12,-0.01,0.03,-0.97,0.1,-0.57,0.06,-0.07,0.04,-0.03,0.0,-0.02,0.0,-0.28,0.0,0.508,0.349,0.349,0.297,0.767,0.3979999999999999,-0.28,0.95,-0.15,0.32,-0.06,0.06,0.0,0.0,-0.04,0.34,-0.03,0.23,-2.47,2.29,0.0,1.41,0.0,0.55,-0.0,0.33,-2.47,0.0
88,REGN,-0.22,2.51,0.0,0.66,0.0,1.52,0.0,0.25,-0.03,0.07,-0.19,0.02,-2.02,0.04,-0.8,0.02,-0.23,0.01,-0.13,0.0,-0.1,0.0,-0.77,0.01,0.5920000000000001,0.41,0.41,-0.325,0.6,0.5529999999999999,-0.91,7.58,-0.81,6.49,-0.09,0.64,0.0,0.0,-0.0,0.01,-0.0,0.44,-1.63,0.57,0.0,0.0,0.0,0.57,-0.0,0.0,-1.63,0.0
89,ROST,-0.16,2.81,0.0,1.65,0.0,1.04,0.0,0.1,-0.06,0.0,-0.1,0.01,-2.34,0.01,-1.18,0.01,-0.27,0.0,-0.17,0.0,-0.03,0.0,-0.7,0.0,0.319,-0.051,-0.051,0.01,-0.001,0.121,-0.13,0.95,-0.08,0.49,-0.03,0.01,0.0,0.01,-0.0,0.02,-0.02,0.43,-0.71,0.02,0.0,0.0,0.0,0.01,-0.0,0.01,-0.7,0.0
90,SBAC,-0.07,2.11,0.0,0.63,0.0,1.15,0.0,0.14,-0.05,0.12,-0.02,0.08,-1.44,0.02,-0.87,0.01,-0.14,0.0,-0.05,0.0,-0.06,0.0,-0.32,0.0,0.611,0.41,0.41,0.419,0.8270000000000001,0.487,-0.7,2.23,-0.29,0.16,-0.25,0.07,0.0,0.0,-0.11,1.71,-0.05,0.28,-1.22,2.31,0.0,1.43,0.0,0.17,-0.01,0.71,-1.22,0.0
91,STX,-0.06,2.26,0.0,0.89,0.0,1.29,0.0,0.05,-0.06,0.02,-0.0,0.01,-0.8,0.02,-0.45,0.01,-0.05,0.01,-0.02,0.0,-0.01,0.0,-0.28,0.0,0.371,0.149,0.149,0.165,0.536,0.238,-0.11,0.33,-0.05,0.13,-0.02,0.01,0.0,0.0,-0.03,0.13,-0.02,0.05,-1.44,0.57,0.0,0.26,0.0,0.13,-0.0,0.18,-1.44,0.0
92,SWKS,-0.05,2.24,0.0,0.74,0.0,1.34,0.0,0.08,-0.05,0.05,-0.01,0.03,-0.82,0.03,-0.47,0.03,-0.05,0.0,-0.02,0.0,-0.02,0.0,-0.27,0.0,0.59,0.423,0.423,0.381,0.8240000000000001,0.461,-0.29,0.41,-0.15,0.05,-0.08,0.02,0.0,0.0,-0.05,0.24,-0.02,0.11,-1.31,1.9,0.0,1.56,0.0,0.04,-0.0,0.29,-1.31,0.0
93,SIVB,-0.06,2.12,0.0,0.32,0.0,1.13,0.0,0.62,-0.02,0.02,-0.04,0.03,-0.28,0.02,-0.17,0.02,-0.04,0.0,-0.01,0.0,-0.02,0.0,-0.05,0.0,0.2789999999999999,0.0969999999999999,0.0969999999999999,0.262,0.4039999999999999,0.1889999999999999,-0.07,0.15,-0.04,0.02,-0.01,0.0,0.0,0.0,-0.01,0.03,-0.01,0.09,-1.8,0.43,0.0,0.07,0.0,0.17,-0.0,0.19,-1.8,0.0
94,SNPS,-0.05,3.67,0.0,1.29,0.0,2.13,0.0,0.22,-0.05,0.02,-0.0,0.01,-1.25,0.04,-0.73,0.03,-0.11,0.01,-0.04,0.0,-0.04,0.0,-0.32,0.0,0.4,0.218,0.218,0.176,0.698,0.263,-0.14,0.38,-0.09,0.09,-0.02,0.02,0.0,0.0,-0.02,0.09,-0.01,0.19,-3.19,2.19,0.0,0.51,0.0,1.6,-0.0,0.08,-3.19,0.0
95,TMUS,-0.05,2.64,0.0,0.71,0.0,1.43,0.0,0.33,-0.04,0.1,-0.01,0.06,-1.31,0.03,-0.74,0.02,-0.12,0.01,-0.04,0.0,-0.05,0.0,-0.37,0.0,0.556,0.3379999999999999,0.3379999999999999,0.365,0.782,0.421,-0.73,1.64,-0.39,0.14,-0.17,0.09,0.0,0.0,-0.14,1.07,-0.04,0.35,-1.56,1.99,0.0,1.23,0.0,0.13,-0.01,0.63,-1.56,0.0
96,TROW,-0.14,2.89,0.0,0.62,0.0,1.2,0.0,1.0,-0.08,0.05,-0.05,0.03,-0.8,0.08,-0.43,0.05,-0.11,0.01,-0.05,0.01,-0.06,0.0,-0.15,0.02,0.382,0.1689999999999999,0.1689999999999999,0.344,0.424,0.2739999999999999,-0.17,0.41,-0.09,0.15,-0.01,0.03,0.0,0.02,-0.05,0.08,-0.02,0.12,-1.65,0.42,0.0,0.03,0.0,0.03,-0.0,0.36,-1.65,0.0
97,TTWO,-0.11,3.47,0.0,0.91,0.0,2.11,0.0,0.15,-0.1,0.17,-0.02,0.13,-1.23,0.03,-0.49,0.02,-0.08,0.01,-0.03,0.0,-0.02,0.0,-0.61,0.0,0.359,0.003,0.003,0.099,0.5489999999999999,0.2189999999999999,-2.91,4.5,-1.38,1.0,-0.1,0.05,0.0,0.0,-0.87,1.83,-0.56,1.61,-3.23,1.59,0.0,0.04,0.0,1.55,-0.0,0.0,-3.23,0.0
98,TER,-0.01,4.03,0.0,0.68,0.0,2.05,0.0,1.3,-0.01,0.0,-0.0,0.0,-2.11,0.06,-1.22,0.04,-0.37,0.02,-0.04,0.0,-0.09,0.0,-0.39,0.0,0.648,0.471,0.471,0.4589999999999999,0.862,0.489,-0.38,0.13,-0.31,0.04,-0.04,0.0,0.0,0.02,-0.0,0.03,-0.03,0.04,-1.6,3.82,0.0,0.01,0.0,3.76,-0.0,0.05,-1.6,0.0
99,TSLA,-0.02,4.42,0.0,1.21,0.0,1.42,0.0,1.7,-0.01,0.03,-0.01,0.06,-2.31,2.3,-1.05,1.31,-0.76,0.95,-0.07,0.0,-0.16,0.0,-0.28,0.04,0.55,0.241,0.241,0.435,0.421,0.359,-1.04,0.49,-0.74,0.05,-0.17,0.01,0.0,0.01,-0.02,0.1,-0.11,0.33,-1.49,0.37,0.0,0.12,0.0,0.19,-0.0,0.06,-1.49,0.0
100,TXN,-0.05,2.22,0.0,0.65,0.0,1.44,0.0,0.11,-0.05,0.02,-0.0,0.01,-1.11,0.05,-0.68,0.03,-0.09,0.01,-0.02,0.0,-0.02,0.0,-0.3,0.01,0.4629999999999999,0.241,0.241,0.226,0.713,0.297,-0.12,0.22,-0.06,0.05,-0.02,0.01,0.0,0.01,-0.03,0.09,-0.01,0.05,-1.21,1.05,0.0,0.83,0.0,0.08,-0.0,0.14,-1.21,0.0
101,TSCO,-0.02,1.9,0.0,0.66,0.0,0.93,0.0,0.28,-0.01,0.01,-0.01,0.01,-1.43,0.05,-0.65,0.04,-0.18,0.01,-0.08,0.0,-0.06,0.0,-0.47,0.0,0.29,-0.091,-0.091,0.128,-0.05,0.08,-0.13,0.53,-0.11,0.05,-0.01,0.01,0.0,0.01,-0.0,0.04,-0.01,0.42,-0.73,0.04,0.0,0.01,0.0,0.01,-0.0,0.01,-0.73,0.0
102,TRMB,-0.03,3.04,0.0,1.09,0.0,1.61,0.0,0.29,-0.01,0.04,-0.02,0.02,-2.1,0.73,-1.25,0.22,-0.29,0.24,-0.19,0.1,-0.17,0.17,-0.21,0.0,0.498,0.256,0.256,0.282,0.672,0.3389999999999999,-0.27,1.11,-0.21,0.22,-0.02,0.07,0.0,0.71,-0.01,0.04,-0.03,0.07,-1.68,1.28,0.0,0.38,0.0,0.89,-0.0,0.01,-1.68,0.0
103,ULTA,-0.05,2.47,0.0,1.18,0.0,1.11,0.0,0.17,-0.05,0.0,-0.0,0.01,-1.9,0.05,-0.85,0.03,-0.26,0.01,-0.05,0.0,-0.03,0.0,-0.72,0.01,0.293,-0.085,-0.085,-0.02,-0.023,0.1009999999999999,-0.26,0.98,-0.23,0.51,-0.02,0.02,0.0,0.0,-0.0,0.0,-0.0,0.45,-0.97,0.05,0.0,0.0,0.0,0.03,-0.0,0.01,-0.97,0.0
104,VRSN,-0.11,3.49,0.0,0.92,0.0,2.38,0.0,0.15,-0.11,0.03,-0.0,0.01,-0.5,0.04,-0.32,0.02,-0.06,0.01,-0.03,0.0,-0.02,0.0,-0.08,0.0,0.342,0.171,0.171,0.184,0.5760000000000001,0.24,-0.17,0.19,-0.06,0.05,-0.02,0.01,0.0,0.0,-0.05,0.06,-0.03,0.07,-2.96,1.19,0.0,0.62,0.0,0.39,-0.0,0.18,-2.95,0.0
105,VRSK,-0.07,3.43,0.0,1.0,0.0,1.55,0.0,0.79,-0.05,0.06,-0.02,0.03,-1.05,0.16,-0.6,0.1,-0.16,0.06,-0.06,0.0,-0.07,0.0,-0.17,0.0,0.5329999999999999,0.375,0.375,0.392,0.769,0.411,-0.17,0.25,-0.09,0.07,-0.02,0.0,0.0,0.01,-0.03,0.02,-0.03,0.15,-2.21,2.09,0.0,0.43,0.0,0.83,-0.0,0.83,-2.21,0.0
106,VRTX,-0.29,2.89,0.0,0.62,0.0,1.89,0.0,0.3,-0.02,0.07,-0.27,0.02,-3.19,0.05,-1.42,0.03,-0.28,0.01,-0.18,0.0,-0.11,0.0,-1.21,0.01,0.3979999999999999,0.103,0.103,-1.172,0.181,0.337,-1.6,7.99,-1.56,7.55,-0.04,0.31,0.0,0.0,-0.0,0.01,-0.0,0.12,-2.18,0.03,0.0,0.0,0.0,0.03,-0.0,0.0,-2.18,0.0
107,WBA,-0.02,2.0,0.0,0.78,0.0,0.96,0.0,0.22,-0.01,0.02,-0.01,0.02,-1.57,0.03,-0.62,0.02,-0.17,0.0,-0.07,0.0,-0.04,0.0,-0.68,0.0,0.288,-0.073,-0.073,-0.092,-0.0289999999999999,0.135,-0.34,1.38,-0.28,0.76,-0.03,0.12,0.0,0.07,-0.02,0.01,-0.01,0.42,-1.06,0.04,0.0,0.01,0.0,0.03,-0.0,0.01,-1.05,0.0
